Aggregated Authentication Events:
source_computer,destination_computer,auth_type,logon_type,times,source_users,destination_users,orientations,statuses
C1322,C1322,Negotiate,Service,<3>,C1322$@DOM1,SYSTEM@C1322,LogOn,Success
C1331,C1331,Negotiate,Service,<3>,C1331$@DOM1,SYSTEM@C1331,LogOn,Success
C1333,C1333,Negotiate,Service,<3>,C1333$@DOM1,SYSTEM@C1333,LogOn,Success
C1335,C1335,Negotiate,Service,<3>,C1335$@DOM1,SYSTEM@C1335,LogOn,Success
C1337,C1337,Negotiate,Service,<3>,C1337$@DOM1,SYSTEM@C1337,LogOn,Success
C1341,C1341,Negotiate,Service,<3>,C1341$@DOM1,SYSTEM@C1341,LogOn,Success
C1344,C1344,Negotiate,Service,<3>,C1344$@DOM1,SYSTEM@C1344,LogOn,Success
C1349,C1349,Negotiate,Service,<3>,C1349$@DOM1,SYSTEM@C1349,LogOn,Success
C1357,C1357,Negotiate,Service,<3>,C1357$@DOM1,SYSTEM@C1357,LogOn,Success
C1359,C1359,Negotiate,Service,<3>,C1359$@DOM1,SYSTEM@C1359,LogOn,Success
C1362,C1362,Negotiate,Service,<3>,C1362$@DOM1,SYSTEM@C1362,LogOn,Success
C1363,C1363,Negotiate,Service,<3>,C1363$@DOM1,SYSTEM@C1363,LogOn,Success
C1365,C1365,Negotiate,Service,<3>,C1365$@DOM1,SYSTEM@C1365,LogOn,Success
C1366,C1366,Negotiate,Service,<3>,C1366$@DOM1,SYSTEM@C1366,LogOn,Success
C1369,C1369,Negotiate,Service,<3>,C1369$@DOM1,SYSTEM@C1369,LogOn,Success
C1371,C1371,Negotiate,Service,<3>,C1371$@DOM1,SYSTEM@C1371,LogOn,Success
C1376,C1376,Negotiate,Service,<3>,C1376$@DOM1,SYSTEM@C1376,LogOn,Success
C1377,C1377,Negotiate,Service,<3>,C1377$@DOM1,SYSTEM@C1377,LogOn,Success
C1378,C1378,Negotiate,Service,<3>,C1378$@DOM1,SYSTEM@C1378,LogOn,Success
C1379,C1379,Negotiate,Service,<3>,C1379$@DOM1,SYSTEM@C1379,LogOn,Success
C1380,C1380,Negotiate,Service,<3>,C1380$@DOM1,SYSTEM@C1380,LogOn,Success
C1383,C1383,Negotiate,Service,<3>,C1383$@DOM1,SYSTEM@C1383,LogOn,Success
C1386,C1386,Negotiate,Service,<3>,C1386$@DOM1,SYSTEM@C1386,LogOn,Success
C1388,C1388,Negotiate,Service,<3>,C1388$@DOM1,SYSTEM@C1388,LogOn,Success
C139,C139,Negotiate,Service,<3>,C139$@DOM1,SYSTEM@C139,LogOn,Success
C1392,C1392,Negotiate,Service,<3>,C1392$@DOM1,SYSTEM@C1392,LogOn,Success
C1394,C1394,Negotiate,Service,<3>,C1394$@DOM1,SYSTEM@C1394,LogOn,Success
C1399,C1399,Negotiate,Service,<3>,C1399$@DOM1,SYSTEM@C1399,LogOn,Success
C14,C14,Negotiate,Service,<3>,C14$@DOM1,SYSTEM@C14,LogOn,Success
C140,C140,Negotiate,Service,<3>,C140$@DOM1,SYSTEM@C140,LogOn,Success
C1406,C1406,Negotiate,Service,<3>,C1406$@DOM1,SYSTEM@C1406,LogOn,Success
C1407,C1407,Negotiate,Service,<3>,C1407$@DOM1,SYSTEM@C1407,LogOn,Success
C1408,C1408,Negotiate,Service,<3>,C1408$@DOM1,SYSTEM@C1408,LogOn,Success
C1409,C1409,Negotiate,Service,<3>,C1409$@DOM1,SYSTEM@C1409,LogOn,Success
C141,C141,Negotiate,Service,<3>,C141$@DOM1,SYSTEM@C141,LogOn,Success
C1412,C1412,Negotiate,Service,<3>,C1412$@DOM1,SYSTEM@C1412,LogOn,Success
C1416,C1416,Negotiate,Service,<3>,C1416$@DOM1,SYSTEM@C1416,LogOn,Success
C1417,C1417,Negotiate,Service,<3>,C1417$@DOM1,SYSTEM@C1417,LogOn,Success
C1418,C1418,Negotiate,Service,<3>,C1418$@DOM1,SYSTEM@C1418,LogOn,Success
C1420,C1420,Negotiate,Service,<3>,C1420$@DOM1,SYSTEM@C1420,LogOn,Success
C1426,C1426,Negotiate,Service,<3>,C1426$@DOM1,SYSTEM@C1426,LogOn,Success
C1427,C1427,Negotiate,Service,<3>,C1427$@DOM1,SYSTEM@C1427,LogOn,Success
C1428,C1428,Negotiate,Service,<3>,C1428$@DOM1,SYSTEM@C1428,LogOn,Success
C1431,C1431,Negotiate,Service,<3>,C1431$@DOM1,SYSTEM@C1431,LogOn,Success
C1433,C1433,Negotiate,Service,<3>,C1433$@DOM1,SYSTEM@C1433,LogOn,Success
C1439,C1439,Negotiate,Service,<3>,C1439$@DOM1,SYSTEM@C1439,LogOn,Success
C1441,C1441,Negotiate,Service,<3>,C1441$@DOM1,SYSTEM@C1441,LogOn,Success
C1442,C1442,Negotiate,Service,<3>,C1442$@DOM1,SYSTEM@C1442,LogOn,Success
C1445,C1445,Negotiate,Service,<3>,C1445$@DOM1,SYSTEM@C1445,LogOn,Success
C1453,C1453,Negotiate,Service,<3>,C1453$@DOM1,SYSTEM@C1453,LogOn,Success
